"","X","wyniki","terminarz","kraj","liga","liga_nr"
"1",1,"https://www.flashscore.pl/pilka-nozna/swiat/mistrzostwa-swiata/wyniki","https://www.flashscore.pl/pilka-nozna/swiat/mistrzostwa-swiata/mecze","swiat","mistrzostwa-swiata","1"
"2",2,"https://www.flashscore.pl/pilka-nozna/europa/euro/wyniki","https://www.flashscore.pl/pilka-nozna/europa/euro/mecze","europa","euro","1"
"3",3,"https://www.flashscore.pl/pilka-nozna/swiat/mecze-towarzyskie/wyniki","https://www.flashscore.pl/pilka-nozna/swiat/mecze-towarzyskie/mecze","swiat","mecze-towarzyskie","1"
"4",4,"https://www.flashscore.pl/pilka-nozna/swiat/miedzyklubowe-towarzyskie/wyniki","https://www.flashscore.pl/pilka-nozna/swiat/miedzyklubowe-towarzyskie/mecze","swiat","miedzyklubowe-towarzyskie","1"
"5",5,"https://www.flashscore.pl/pilka-nozna/europa/liga-narodow-uefa/wyniki","https://www.flashscore.pl/pilka-nozna/europa/liga-narodow-uefa/mecze","europa","liga-narodow-uefa","1"
"6",6,"https://www.flashscore.pl/pilka-nozna/afryka/puchar-narodow-afryki/wyniki","https://www.flashscore.pl/pilka-nozna/afryka/puchar-narodow-afryki/mecze","afryka","puchar-narodow-afryki","1"
"7",7,"https://www.flashscore.pl/pilka-nozna/europa/liga-europejska/wyniki","https://www.flashscore.pl/pilka-nozna/europa/liga-europejska/mecze","europa","liga-europejska","1"
"8",8,"https://www.flashscore.pl/pilka-nozna/europa/liga-mistrzow/wyniki","https://www.flashscore.pl/pilka-nozna/europa/liga-mistrzow/mecze","europa","liga-mistrzow","1"
"9",9,"https://www.flashscore.pl/pilka-nozna/europa/liga-konfetrencji/wyniki","https://www.flashscore.pl/pilka-nozna/europa/liga-konfetrencji/mecze","europa","liga-konfetrencji","1"
"10",10,"https://www.flashscore.pl/pilka-nozna/afryka/caf-puchar-konfederacji/wyniki","https://www.flashscore.pl/pilka-nozna/afryka/caf-puchar-konfederacji/mecze","afryka","caf-puchar-konfederacji","1"
"11",11,"https://www.flashscore.pl/pilka-nozna/afryka/caf-liga-mistrzow/wyniki","https://www.flashscore.pl/pilka-nozna/afryka/caf-liga-mistrzow/mecze","afryka","caf-liga-mistrzow","1"
"12",12,"https://www.flashscore.pl/pilka-nozna/azja/puchar-panstw-zatokowych/wyniki","https://www.flashscore.pl/pilka-nozna/azja/puchar-panstw-zatokowych/mecze","azja","puchar-panstw-zatokowych","1"
"13",13,"https://www.flashscore.pl/pilka-nozna/algieria/dywizja-1/wyniki","https://www.flashscore.pl/pilka-nozna/algieria/dywizja-1/mecze","algieria","dywizja-1","1"
"14",14,"https://www.flashscore.pl/pilka-nozna/algieria/ligue-2/wyniki","https://www.flashscore.pl/pilka-nozna/algieria/ligue-2/mecze","algieria","ligue-2","2"
"15",15,"https://www.flashscore.pl/pilka-nozna/algieria/u21-league/wyniki","https://www.flashscore.pl/pilka-nozna/algieria/u21-league/mecze","algieria","u21-league","3"
"16",16,"https://www.flashscore.pl/pilka-nozna/albania/super-liga/wyniki","https://www.flashscore.pl/pilka-nozna/albania/super-liga/mecze","albania","super-liga","1"
"17",17,"https://www.flashscore.pl/pilka-nozna/anglia/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/premier-league/mecze","anglia","premier-league","1"
"18",18,"https://www.flashscore.pl/pilka-nozna/anglia/championship/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/championship/mecze","anglia","championship","2"
"19",19,"https://www.flashscore.pl/pilka-nozna/anglia/league-one/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/league-one/mecze","anglia","league-one","3"
"20",20,"https://www.flashscore.pl/pilka-nozna/anglia/league-two/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/league-two/mecze","anglia","league-two","3"
"21",21,"https://www.flashscore.pl/pilka-nozna/anglia/national-league/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/national-league/mecze","anglia","national-league","4"
"22",22,"https://www.flashscore.pl/pilka-nozna/anglia/national-league-polnoc/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/national-league-polnoc/mecze","anglia","national-league-polnoc","4"
"23",23,"https://www.flashscore.pl/pilka-nozna/anglia/national-league-poludnie/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/national-league-poludnie/mecze","anglia","national-league-poludnie","4"
"24",24,"https://www.flashscore.pl/pilka-nozna/anglia/efl-cup/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/efl-cup/mecze","anglia","efl-cup","p"
"25",25,"https://www.flashscore.pl/pilka-nozna/anglia/professional-development-league/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/professional-development-league/mecze","anglia","professional-development-league","1"
"26",26,"https://www.flashscore.pl/pilka-nozna/anglia/premier-league-cup/wyniki","https://www.flashscore.pl/pilka-nozna/anglia/premier-league-cup/mecze","anglia","premier-league-cup","1"
"27",27,"https://www.flashscore.pl/pilka-nozna/angola/girabola-league/wyniki","https://www.flashscore.pl/pilka-nozna/angola/girabola-league/mecze","angola","girabola-league","1"
"28",28,"https://www.flashscore.pl/pilka-nozna/arabia-saudyjska/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/arabia-saudyjska/pierwsza-liga/mecze","arabia-saudyjska","pierwsza-liga","1"
"29",29,"https://www.flashscore.pl/pilka-nozna/arabia-saudyjska/division-1/wyniki","https://www.flashscore.pl/pilka-nozna/arabia-saudyjska/division-1/mecze","arabia-saudyjska","division-1","2"
"30",30,"https://www.flashscore.pl/pilka-nozna/argentyna/superliga/wyniki","https://www.flashscore.pl/pilka-nozna/argentyna/superliga/mecze","argentyna","superliga","1"
"31",31,"https://www.flashscore.pl/pilka-nozna/argentyna/primera-nacional/wyniki","https://www.flashscore.pl/pilka-nozna/argentyna/primera-nacional/mecze","argentyna","primera-nacional","2"
"32",32,"https://www.flashscore.pl/pilka-nozna/argentyna/primera-b-metropolitana/wyniki","https://www.flashscore.pl/pilka-nozna/argentyna/primera-b-metropolitana/mecze","argentyna","primera-b-metropolitana","3"
"33",33,"https://www.flashscore.pl/pilka-nozna/argentyna/primera-c-metropolitana/wyniki","https://www.flashscore.pl/pilka-nozna/argentyna/primera-c-metropolitana/mecze","argentyna","primera-c-metropolitana","4"
"34",34,"https://www.flashscore.pl/pilka-nozna/argentyna/primera-d-metropolitana/wyniki","https://www.flashscore.pl/pilka-nozna/argentyna/primera-d-metropolitana/mecze","argentyna","primera-d-metropolitana","5"
"35",35,"https://www.flashscore.pl/pilka-nozna/argentyna/copa-argentina/wyniki","https://www.flashscore.pl/pilka-nozna/argentyna/copa-argentina/mecze","argentyna","copa-argentina","p"
"36",36,"https://www.flashscore.pl/pilka-nozna/armenia/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/armenia/pierwsza-liga/mecze","armenia","pierwsza-liga","1"
"37",37,"https://www.flashscore.pl/pilka-nozna/armenia/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/armenia/puchar/mecze","armenia","puchar","p"
"38",38,"https://www.flashscore.pl/pilka-nozna/australia/a-league/wyniki","https://www.flashscore.pl/pilka-nozna/australia/a-league/mecze","australia","a-league","1"
"39",39,"https://www.flashscore.pl/pilka-nozna/australia/npl-nsw/wyniki","https://www.flashscore.pl/pilka-nozna/australia/npl-nsw/mecze","australia","npl-nsw","2"
"40",40,"https://www.flashscore.pl/pilka-nozna/australia/npl-victoria/wyniki","https://www.flashscore.pl/pilka-nozna/australia/npl-victoria/mecze","australia","npl-victoria","2"
"41",41,"https://www.flashscore.pl/pilka-nozna/australia/npl-western-australia/wyniki","https://www.flashscore.pl/pilka-nozna/australia/npl-western-australia/mecze","australia","npl-western-australia","2"
"42",42,"https://www.flashscore.pl/pilka-nozna/australia/npl-queensland/wyniki","https://www.flashscore.pl/pilka-nozna/australia/npl-queensland/mecze","australia","npl-queensland","2"
"43",43,"https://www.flashscore.pl/pilka-nozna/australia/ffa-cup/wyniki","https://www.flashscore.pl/pilka-nozna/australia/ffa-cup/mecze","australia","ffa-cup","p"
"44",44,"https://www.flashscore.pl/pilka-nozna/austria/tipico-bundesliga/wyniki","https://www.flashscore.pl/pilka-nozna/austria/tipico-bundesliga/mecze","austria","tipico-bundesliga","1"
"45",45,"https://www.flashscore.pl/pilka-nozna/austria/2-liga/wyniki","https://www.flashscore.pl/pilka-nozna/austria/2-liga/mecze","austria","2-liga","2"
"46",46,"https://www.flashscore.pl/pilka-nozna/austria/liga-regionalna-wschod/wyniki","https://www.flashscore.pl/pilka-nozna/austria/liga-regionalna-wschod/mecze","austria","liga-regionalna-wschod","3"
"47",47,"https://www.flashscore.pl/pilka-nozna/austria/liga-regionalna-central/wyniki","https://www.flashscore.pl/pilka-nozna/austria/liga-regionalna-central/mecze","austria","liga-regionalna-central","3"
"48",48,"https://www.flashscore.pl/pilka-nozna/austria/ofb-cup/wyniki","https://www.flashscore.pl/pilka-nozna/austria/ofb-cup/mecze","austria","ofb-cup","p"
"49",49,"https://www.flashscore.pl/pilka-nozna/azerbejdzan/premier-liga/wyniki","https://www.flashscore.pl/pilka-nozna/azerbejdzan/premier-liga/mecze","azerbejdzan","premier-liga","1"
"50",50,"https://www.flashscore.pl/pilka-nozna/azerbejdzan/puchar-azerbejdzanu/wyniki","https://www.flashscore.pl/pilka-nozna/azerbejdzan/puchar-azerbejdzanu/mecze","azerbejdzan","puchar-azerbejdzanu","p"
"51",51,"https://www.flashscore.pl/pilka-nozna/bahrajn/premier-liga/wyniki","https://www.flashscore.pl/pilka-nozna/bahrajn/premier-liga/mecze","bahrajn","premier-liga","1"
"52",52,"https://www.flashscore.pl/pilka-nozna/belgia/jupiler-league/wyniki","https://www.flashscore.pl/pilka-nozna/belgia/jupiler-league/mecze","belgia","jupiler-league","1"
"53",53,"https://www.flashscore.pl/pilka-nozna/belgia/proximus-league/wyniki","https://www.flashscore.pl/pilka-nozna/belgia/proximus-league/mecze","belgia","proximus-league","2"
"54",54,"https://www.flashscore.pl/pilka-nozna/belgia/pro-league-u21/wyniki","https://www.flashscore.pl/pilka-nozna/belgia/pro-league-u21/mecze","belgia","pro-league-u21","3"
"55",55,"https://www.flashscore.pl/pilka-nozna/belgia/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/belgia/puchar/mecze","belgia","puchar","p"
"56",56,"https://www.flashscore.pl/pilka-nozna/bialorus/wyszejszaja-liha/wyniki","https://www.flashscore.pl/pilka-nozna/bialorus/wyszejszaja-liha/mecze","bialorus","wyszejszaja-liha","1"
"57",57,"https://www.flashscore.pl/pilka-nozna/bialorus/pershaya-liga/wyniki","https://www.flashscore.pl/pilka-nozna/bialorus/pershaya-liga/mecze","bialorus","pershaya-liga","2"
"58",58,"https://www.flashscore.pl/pilka-nozna/bialorus/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/bialorus/puchar/mecze","bialorus","puchar","p"
"59",59,"https://www.flashscore.pl/pilka-nozna/boliwia/division-profesional/wyniki","https://www.flashscore.pl/pilka-nozna/boliwia/division-profesional/mecze","boliwia","division-profesional","1"
"60",60,"https://www.flashscore.pl/pilka-nozna/boliwia/nacional-b/wyniki","https://www.flashscore.pl/pilka-nozna/boliwia/nacional-b/mecze","boliwia","nacional-b","2"
"61",61,"https://www.flashscore.pl/pilka-nozna/bosnia-i-hercegowina/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/bosnia-i-hercegowina/pierwsza-liga/mecze","bosnia-i-hercegowina","pierwsza-liga","1"
"62",62,"https://www.flashscore.pl/pilka-nozna/bosnia-i-hercegowina/fbih/wyniki","https://www.flashscore.pl/pilka-nozna/bosnia-i-hercegowina/fbih/mecze","bosnia-i-hercegowina","fbih","2"
"63",63,"https://www.flashscore.pl/pilka-nozna/bosnia-i-hercegowina/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/bosnia-i-hercegowina/puchar/mecze","bosnia-i-hercegowina","puchar","p"
"64",64,"https://www.flashscore.pl/pilka-nozna/brazylia/serie-a/wyniki","https://www.flashscore.pl/pilka-nozna/brazylia/serie-a/mecze","brazylia","serie-a","1"
"65",65,"https://www.flashscore.pl/pilka-nozna/brazylia/serie-b/wyniki","https://www.flashscore.pl/pilka-nozna/brazylia/serie-b/mecze","brazylia","serie-b","2"
"66",66,"https://www.flashscore.pl/pilka-nozna/brazylia/serie-c/wyniki","https://www.flashscore.pl/pilka-nozna/brazylia/serie-c/mecze","brazylia","serie-c","3"
"67",67,"https://www.flashscore.pl/pilka-nozna/brazylia/brasileiro-u20/wyniki","https://www.flashscore.pl/pilka-nozna/brazylia/brasileiro-u20/mecze","brazylia","brasileiro-u20","4"
"68",68,"https://www.flashscore.pl/pilka-nozna/bulgaria/parva-liga/wyniki","https://www.flashscore.pl/pilka-nozna/bulgaria/parva-liga/mecze","bulgaria","parva-liga","1"
"69",69,"https://www.flashscore.pl/pilka-nozna/bulgaria/vtora-liga/wyniki","https://www.flashscore.pl/pilka-nozna/bulgaria/vtora-liga/mecze","bulgaria","vtora-liga","2"
"70",70,"https://www.flashscore.pl/pilka-nozna/bulgaria/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/bulgaria/puchar/mecze","bulgaria","puchar","p"
"71",71,"https://www.flashscore.pl/pilka-nozna/burundi/primus-league/wyniki","https://www.flashscore.pl/pilka-nozna/burundi/primus-league/mecze","burundi","primus-league","1"
"72",72,"https://www.flashscore.pl/pilka-nozna/chiny/super-liga/wyniki","https://www.flashscore.pl/pilka-nozna/chiny/super-liga/mecze","chiny","super-liga","1"
"73",73,"https://www.flashscore.pl/pilka-nozna/chiny/liga-jia/wyniki","https://www.flashscore.pl/pilka-nozna/chiny/liga-jia/mecze","chiny","liga-jia","2"
"74",74,"https://www.flashscore.pl/pilka-nozna/chiny/liga-yi/wyniki","https://www.flashscore.pl/pilka-nozna/chiny/liga-yi/mecze","chiny","liga-yi","3"
"75",75,"https://www.flashscore.pl/pilka-nozna/chiny/fa-cup/wyniki","https://www.flashscore.pl/pilka-nozna/chiny/fa-cup/mecze","chiny","fa-cup","p"
"76",76,"https://www.flashscore.pl/pilka-nozna/rumunia/liga-2/wyniki","https://www.flashscore.pl/pilka-nozna/rumunia/liga-2/mecze","rumunia","liga-2","2"
"77",77,"https://www.flashscore.pl/pilka-nozna/rumunia/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/rumunia/puchar/mecze","rumunia","puchar","p"
"78",78,"https://www.flashscore.pl/pilka-nozna/chorwacja/1-hnl/wyniki","https://www.flashscore.pl/pilka-nozna/chorwacja/1-hnl/mecze","chorwacja","1-hnl","1"
"79",79,"https://www.flashscore.pl/pilka-nozna/chorwacja/2-hnl/wyniki","https://www.flashscore.pl/pilka-nozna/chorwacja/2-hnl/mecze","chorwacja","2-hnl","2"
"80",80,"https://www.flashscore.pl/pilka-nozna/chorwacja/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/chorwacja/puchar/mecze","chorwacja","puchar","p"
"81",81,"https://www.flashscore.pl/pilka-nozna/cypr/pierwsza-dywizja/wyniki","https://www.flashscore.pl/pilka-nozna/cypr/pierwsza-dywizja/mecze","cypr","pierwsza-dywizja","1"
"82",82,"https://www.flashscore.pl/pilka-nozna/cypr/division-2/wyniki","https://www.flashscore.pl/pilka-nozna/cypr/division-2/mecze","cypr","division-2","2"
"83",83,"https://www.flashscore.pl/pilka-nozna/cypr/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/cypr/puchar/mecze","cypr","puchar","p"
"84",84,"https://www.flashscore.pl/pilka-nozna/czarnogora/pierwsza-czarnogorska-liga/wyniki","https://www.flashscore.pl/pilka-nozna/czarnogora/pierwsza-czarnogorska-liga/mecze","czarnogora","pierwsza-czarnogorska-liga","1"
"85",85,"https://www.flashscore.pl/pilka-nozna/czarnogora/druga-liga/wyniki","https://www.flashscore.pl/pilka-nozna/czarnogora/druga-liga/mecze","czarnogora","druga-liga","2"
"86",86,"https://www.flashscore.pl/pilka-nozna/czarnogora/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/czarnogora/puchar/mecze","czarnogora","puchar","p"
"87",87,"https://www.flashscore.pl/pilka-nozna/czechy/chance-liga/wyniki","https://www.flashscore.pl/pilka-nozna/czechy/chance-liga/mecze","czechy","chance-liga","1"
"88",88,"https://www.flashscore.pl/pilka-nozna/czechy/dywizja-2/wyniki","https://www.flashscore.pl/pilka-nozna/czechy/dywizja-2/mecze","czechy","dywizja-2","2"
"89",89,"https://www.flashscore.pl/pilka-nozna/czechy/liga-u19/wyniki","https://www.flashscore.pl/pilka-nozna/czechy/liga-u19/mecze","czechy","liga-u19","5"
"90",90,"https://www.flashscore.pl/pilka-nozna/czechy/mol-cup/wyniki","https://www.flashscore.pl/pilka-nozna/czechy/mol-cup/mecze","czechy","mol-cup","p"
"91",91,"https://www.flashscore.pl/pilka-nozna/dania/superliga/wyniki","https://www.flashscore.pl/pilka-nozna/dania/superliga/mecze","dania","superliga","1"
"92",92,"https://www.flashscore.pl/pilka-nozna/dania/1st-division/wyniki","https://www.flashscore.pl/pilka-nozna/dania/1st-division/mecze","dania","1st-division","2"
"93",93,"https://www.flashscore.pl/pilka-nozna/dania/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/dania/puchar/mecze","dania","puchar","p"
