"","X","wyniki","terminarz","kraj","liga","liga_nr"
"188",188,"https://www.flashscore.pl/pilka-nozna/kenia/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/kenia/premier-league/mecze","kenia","premier-league","1"
"189",189,"https://www.flashscore.pl/pilka-nozna/kolumbia/liga-aguila/wyniki","https://www.flashscore.pl/pilka-nozna/kolumbia/liga-aguila/mecze","kolumbia","liga-aguila","1"
"190",190,"https://www.flashscore.pl/pilka-nozna/kolumbia/torneo-aguila/wyniki","https://www.flashscore.pl/pilka-nozna/kolumbia/torneo-aguila/mecze","kolumbia","torneo-aguila","2"
"191",191,"https://www.flashscore.pl/pilka-nozna/korea-poludniowa/k-league-1/wyniki","https://www.flashscore.pl/pilka-nozna/korea-poludniowa/k-league-1/mecze","korea-poludniowa","k-league-1","1"
"192",192,"https://www.flashscore.pl/pilka-nozna/korea-poludniowa/k-league-2/wyniki","https://www.flashscore.pl/pilka-nozna/korea-poludniowa/k-league-2/mecze","korea-poludniowa","k-league-2","2"
"193",193,"https://www.flashscore.pl/pilka-nozna/kosowo/superliga/wyniki","https://www.flashscore.pl/pilka-nozna/kosowo/superliga/mecze","kosowo","superliga","1"
"194",194,"https://www.flashscore.pl/pilka-nozna/kostaryka/primera-division/wyniki","https://www.flashscore.pl/pilka-nozna/kostaryka/primera-division/mecze","kostaryka","primera-division","1"
"195",195,"https://www.flashscore.pl/pilka-nozna/kuwejt/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/kuwejt/pierwsza-liga/mecze","kuwejt","pierwsza-liga","1"
"196",196,"https://www.flashscore.pl/pilka-nozna/litwa/a-lyga/wyniki","https://www.flashscore.pl/pilka-nozna/litwa/a-lyga/mecze","litwa","a-lyga","1"
"197",197,"https://www.flashscore.pl/pilka-nozna/litwa/i-lyga/wyniki","https://www.flashscore.pl/pilka-nozna/litwa/i-lyga/mecze","litwa","i-lyga","2"
"198",198,"https://www.flashscore.pl/pilka-nozna/litwa/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/litwa/puchar/mecze","litwa","puchar","p"
"199",199,"https://www.flashscore.pl/pilka-nozna/lotwa/optibet-virsliga/wyniki","https://www.flashscore.pl/pilka-nozna/lotwa/optibet-virsliga/mecze","lotwa","optibet-virsliga","1"
"200",200,"https://www.flashscore.pl/pilka-nozna/lotwa/1-liga/wyniki","https://www.flashscore.pl/pilka-nozna/lotwa/1-liga/mecze","lotwa","1-liga","2"
"201",201,"https://www.flashscore.pl/pilka-nozna/lotwa/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/lotwa/puchar/mecze","lotwa","puchar","p"
"202",202,"https://www.flashscore.pl/pilka-nozna/macedonia-polnocna/1-mfl/wyniki","https://www.flashscore.pl/pilka-nozna/macedonia-polnocna/1-mfl/mecze","macedonia-polnocna","1-mfl","1"
"203",203,"https://www.flashscore.pl/pilka-nozna/macedonia-polnocna/2-mfl/wyniki","https://www.flashscore.pl/pilka-nozna/macedonia-polnocna/2-mfl/mecze","macedonia-polnocna","2-mfl","2"
"204",204,"https://www.flashscore.pl/pilka-nozna/malezja/super-liga/wyniki","https://www.flashscore.pl/pilka-nozna/malezja/super-liga/mecze","malezja","super-liga","1"
"205",205,"https://www.flashscore.pl/pilka-nozna/malezja/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/malezja/pierwsza-liga/mecze","malezja","pierwsza-liga","2"
"206",206,"https://www.flashscore.pl/pilka-nozna/malta/premier-liga/wyniki","https://www.flashscore.pl/pilka-nozna/malta/premier-liga/mecze","malta","premier-liga","1"
"207",207,"https://www.flashscore.pl/pilka-nozna/malta/division-1/wyniki","https://www.flashscore.pl/pilka-nozna/malta/division-1/mecze","malta","division-1","2"
"208",208,"https://www.flashscore.pl/pilka-nozna/maroko/botola-pro/wyniki","https://www.flashscore.pl/pilka-nozna/maroko/botola-pro/mecze","maroko","botola-pro","1"
"209",209,"https://www.flashscore.pl/pilka-nozna/maroko/botola-2/wyniki","https://www.flashscore.pl/pilka-nozna/maroko/botola-2/mecze","maroko","botola-2","2"
"210",210,"https://www.flashscore.pl/pilka-nozna/maroko/coupe-du-trone/wyniki","https://www.flashscore.pl/pilka-nozna/maroko/coupe-du-trone/mecze","maroko","coupe-du-trone","p"
"211",211,"https://www.flashscore.pl/pilka-nozna/meksyk/liga-mx/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/liga-mx/mecze","meksyk","liga-mx","1"
"212",212,"https://www.flashscore.pl/pilka-nozna/meksyk/liga-de-expansion-mx/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/liga-de-expansion-mx/mecze","meksyk","liga-de-expansion-mx","2"
"213",213,"https://www.flashscore.pl/pilka-nozna/meksyk/liga-mx-women/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/liga-mx-women/mecze","meksyk","liga-mx-women","k"
"214",214,"https://www.flashscore.pl/pilka-nozna/meksyk/copa-mexico/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/copa-mexico/mecze","meksyk","copa-mexico","p"
"215",215,"https://www.flashscore.pl/pilka-nozna/meksyk/liga-mx-u23/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/liga-mx-u23/mecze","meksyk","liga-mx-u23","5"
"216",216,"https://www.flashscore.pl/pilka-nozna/meksyk/liga-premier-serie-a/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/liga-premier-serie-a/mecze","meksyk","liga-premier-serie-a","3"
"217",217,"https://www.flashscore.pl/pilka-nozna/meksyk/liga-premier-serie-b/wyniki","https://www.flashscore.pl/pilka-nozna/meksyk/liga-premier-serie-b/mecze","meksyk","liga-premier-serie-b","3"
"218",218,"https://www.flashscore.pl/pilka-nozna/myanmar/national-league/wyniki","https://www.flashscore.pl/pilka-nozna/myanmar/national-league/mecze","myanmar","national-league","1"
"219",219,"https://www.flashscore.pl/pilka-nozna/moldawia/liga-narodowa/wyniki","https://www.flashscore.pl/pilka-nozna/moldawia/liga-narodowa/mecze","moldawia","liga-narodowa","1"
"220",220,"https://www.flashscore.pl/pilka-nozna/niemcy/bundesliga/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/bundesliga/mecze","niemcy","bundesliga","1"
"221",221,"https://www.flashscore.pl/pilka-nozna/niemcy/2-bundesliga/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/2-bundesliga/mecze","niemcy","2-bundesliga","2"
"222",222,"https://www.flashscore.pl/pilka-nozna/niemcy/3-liga/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/3-liga/mecze","niemcy","3-liga","3"
"223",223,"https://www.flashscore.pl/pilka-nozna/niemcy/liga-regionalna-polnoc/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/liga-regionalna-polnoc/mecze","niemcy","liga-regionalna-polnoc","4"
"224",224,"https://www.flashscore.pl/pilka-nozna/niemcy/regionalliga-nordost/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/regionalliga-nordost/mecze","niemcy","regionalliga-nordost","4"
"225",225,"https://www.flashscore.pl/pilka-nozna/niemcy/liga-regionalna-zachod/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/liga-regionalna-zachod/mecze","niemcy","liga-regionalna-zachod","4"
"226",226,"https://www.flashscore.pl/pilka-nozna/niemcy/regionalliga-sudwest/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/regionalliga-sudwest/mecze","niemcy","regionalliga-sudwest","4"
"227",227,"https://www.flashscore.pl/pilka-nozna/niemcy/regionalliga-bayern/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/regionalliga-bayern/mecze","niemcy","regionalliga-bayern","4"
"228",228,"https://www.flashscore.pl/pilka-nozna/niemcy/bundesliga-kobiety/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/bundesliga-kobiety/mecze","niemcy","bundesliga-kobiety","k"
"229",229,"https://www.flashscore.pl/pilka-nozna/niemcy/dfb-pokal/wyniki","https://www.flashscore.pl/pilka-nozna/niemcy/dfb-pokal/mecze","niemcy","dfb-pokal","p"
"230",230,"https://www.flashscore.pl/pilka-nozna/nigeria/npfl/wyniki","https://www.flashscore.pl/pilka-nozna/nigeria/npfl/mecze","nigeria","npfl","1"
"231",231,"https://www.flashscore.pl/pilka-nozna/nikaragua/liga-primera/wyniki","https://www.flashscore.pl/pilka-nozna/nikaragua/liga-primera/mecze","nikaragua","liga-primera","1"
"232",232,"https://www.flashscore.pl/pilka-nozna/norwegia/eliteserien/wyniki","https://www.flashscore.pl/pilka-nozna/norwegia/eliteserien/mecze","norwegia","eliteserien","1"
"233",233,"https://www.flashscore.pl/pilka-nozna/norwegia/obos-ligaen/wyniki","https://www.flashscore.pl/pilka-nozna/norwegia/obos-ligaen/mecze","norwegia","obos-ligaen","2"
